Nonterminal,condicion_if,parentesis_de_inicio,EXPRESION,parentesis_de_cierre,bucle_while,bucle_do,punto_coma,bucle_for,identificador,OPERACION,condicion_else,i,llave_de_inicio,llave_de_cierre,$
,,,,,,,,,,,,,,,
BLOQUE,BLOQUE -> INSTRUCCION_B BLOQUE,,,,BLOQUE -> INSTRUCCION_B BLOQUE,BLOQUE -> INSTRUCCION_B BLOQUE,,BLOQUE -> INSTRUCCION_B BLOQUE,,,,BLOQUE -> INSTRUCCION_B BLOQUE,BLOQUE -> INSTRUCCION_B BLOQUE,BLOQUE -> '',BLOQUE -> ''
,,,,,,,,,,,,,,,
INSTRUCCION_B,INSTRUCCION_B -> condicion_if parentesis_de_inicio EXPRESION parentesis_de_cierre INSTRUCCION_C BLOQUE_ELSE,,,,INSTRUCCION_B -> bucle_while parentesis_de_inicio EXPRESION parentesis_de_cierre INSTRUCCION_C,INSTRUCCION_B -> bucle_do INSTRUCCION_C bucle_while parentesis_de_inicio EXPRESION parentesis_de_cierre punto_coma,,INSTRUCCION_B -> bucle_for parentesis_de_inicio INSTRUCCION identificador OPERACION punto_coma identificador OPERACION parentesis_de_cierre INSTRUCCION_C,,,,INSTRUCCION_B -> INSTRUCCION,INSTRUCCION_B -> INSTRUCCION,,
,,,,,,,,,,,,,,,
INSTRUCCION_C,INSTRUCCION_C -> condicion_if parentesis_de_inicio EXPRESION parentesis_de_cierre INSTRUCCION_C condicion_else INSTRUCCION_C,,,,INSTRUCCION_C -> bucle_while parentesis_de_inicio EXPRESION parentesis_de_cierre INSTRUCCION_C,INSTRUCCION_C -> bucle_do INSTRUCCION_C bucle_while parentesis_de_inicio EXPRESION parentesis_de_cierre punto_coma,,INSTRUCCION_C -> bucle_for parentesis_de_inicio INSTRUCCION identificador OPERACION punto_coma identificador OPERACION parentesis_de_cierre INSTRUCCION_C,,,,INSTRUCCION_C -> INSTRUCCION,INSTRUCCION_C -> INSTRUCCION,,
,,,,,,,,,,,,,,,
BLOQUE_ELSE,BLOQUE_ELSE -> '',,,,BLOQUE_ELSE -> '',BLOQUE_ELSE -> '',,BLOQUE_ELSE -> '',,,BLOQUE_ELSE -> condicion_else COLA_ELSE,BLOQUE_ELSE -> '',BLOQUE_ELSE -> '',BLOQUE_ELSE -> '',BLOQUE_ELSE -> ''
,,,,,,,,,,,,,,,
COLA_ELSE,COLA_ELSE -> condicion_if parentesis_de_inicio EXPRESION parentesis_de_cierre COLA_ELSE,,,,,,,,,,,COLA_ELSE -> INSTRUCCION,COLA_ELSE -> INSTRUCCION,,
,,,,,,,,,,,,,,,
INSTRUCCION,,,,,,,,,,,,INSTRUCCION -> i,INSTRUCCION -> llave_de_inicio BLOQUE llave_de_cierre,,
