Nonterminal,identificador,punto_coma,void,parentesis_de_inicio,parentesis_de_cierre,llave_de_inicio,_BLOQUE,llave_de_cierre,coma,asignacion,int,float,char,return,e,$
,,,,,,,,,,,,,,,,
INSTRUCCION,INSTRUCCION -> identificador OPERACION punto_coma,,INSTRUCCION -> void identificador parentesis_de_inicio PARAMETROS parentesis_de_cierre FUNCION_COLA,,,,,,,,INSTRUCCION -> TIPO identificador DECLARACION,INSTRUCCION -> TIPO identificador DECLARACION,INSTRUCCION -> TIPO identificador DECLARACION,INSTRUCCION -> RETORNO punto_coma,,
,,,,,,,,,,,,,,,,
DECLARACION,,DECLARACION -> ASIGNACION _DECLARACION_CONT punto_coma,,DECLARACION -> parentesis_de_inicio PARAMETROS parentesis_de_cierre FUNCION_COLA,,,,,DECLARACION -> ASIGNACION _DECLARACION_CONT punto_coma,DECLARACION -> ASIGNACION _DECLARACION_CONT punto_coma,,,,,,DECLARACION -> ASIGNACION _DECLARACION_CONT punto_coma
,,,,,,,,,,,,,,,,
FUNCION_COLA,,FUNCION_COLA -> punto_coma,,,,FUNCION_COLA -> llave_de_inicio _BLOQUE llave_de_cierre,,,,,,,,,,
,,,,,,,,,,,,,,,,
_DECLARACION_CONT,,_DECLARACION_CONT -> '',,,,,,,_DECLARACION_CONT -> coma DECLARACION_CONT _DECLARACION_CONT,,,,,,,
,,,,,,,,,,,,,,,,
DECLARACION_CONT,DECLARACION_CONT -> identificador ASIGNACION,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ASIGNACION,,ASIGNACION -> '',,,,,,,ASIGNACION -> '',ASIGNACION -> asignacion EXPRESION,,,,,,ASIGNACION -> ''
,,,,,,,,,,,,,,,,
PARAMETROS,,,,,PARAMETROS -> '',,,,,,PARAMETROS -> TIPO identificador _PARAMETROS,PARAMETROS -> TIPO identificador _PARAMETROS,PARAMETROS -> TIPO identificador _PARAMETROS,,,
,,,,,,,,,,,,,,,,
_PARAMETROS,,,,,_PARAMETROS -> '',,,,_PARAMETROS -> coma TIPO identificador _PARAMETROS,,,,,,,
,,,,,,,,,,,,,,,,
TIPO,,,,,,,,,,,TIPO -> int,TIPO -> float,TIPO -> char,,,
,,,,,,,,,,,,,,,,
RETORNO,,,,,,,,,,,,,,RETORNO -> return EXPRESION,,
,,,,,,,,,,,,,,,,
OPERACION,,OPERACION -> ASIGNACION,,OPERACION -> LLAMAR_FUNCION,,,,,,OPERACION -> ASIGNACION,,,,,,
,,,,,,,,,,,,,,,,
LLAMAR_FUNCION,,,,LLAMAR_FUNCION -> parentesis_de_inicio ARGUMENT parentesis_de_cierre,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ARGUMENT,,,,,ARGUMENT -> '',,,,,,,,,,ARGUMENT -> EXPRESION _ARGUMENT,
,,,,,,,,,,,,,,,,
_ARGUMENT,,,,,_ARGUMENT -> '',,,,_ARGUMENT -> coma EXPRESION _ARGUMENT,,,,,,,
,,,,,,,,,,,,,,,,
EXPRESION,,,,,,,,,,,,,,,EXPRESION -> e,
