Nonterminal;";";id;int;float;char;return;expresion;(;);,;=;$
INSTRUCCION;;INSTRUCCION -> _INTRUCCION INSTRUCCION;INSTRUCCION -> _INTRUCCION INSTRUCCION;INSTRUCCION -> _INTRUCCION INSTRUCCION;INSTRUCCION -> _INTRUCCION INSTRUCCION;INSTRUCCION -> _INTRUCCION INSTRUCCION;;;;;;
_INTRUCCION;;"_INTRUCCION -> id ID ;";"_INTRUCCION -> DECLARACION ;";"_INTRUCCION -> DECLARACION ;";"_INTRUCCION -> DECLARACION ;";"_INTRUCCION -> RETURN_I ;";;;;;;
ID;;;;;;;;ID -> FUNTION_CALL;;;ID -> D_INIT;
TIPO;;;TIPO -> int;TIPO -> float;TIPO -> char;;;;;;;
RETURN_I;;;;;;"RETURN_I -> return ""expresion""";;;;;;
FUNTION_CALL;;;;;;;;FUNTION_CALL -> ( ARGUMENT );;;;
ARGUMENT;;;;;;;"ARGUMENT -> ""expresion"" A_ARGUMENT";;ARGUMENT -> '';;;
A_ARGUMENT;;;;;;;;;A_ARGUMENT -> '';"A_ARGUMENT -> , ""expresion"" A_ARGUMENT";;
DECLARACION;;;DECLARACION -> TIPO id D_INIT;DECLARACION -> TIPO id D_INIT;DECLARACION -> TIPO id D_INIT;;;;;;;
D_INIT;;;;;;;;;;;"D_INIT -> = ""expresion""";
